29	43	38	49	32	53	1	64	36	77
56	18	10	15	21	8	30	14	37	68
65	82	59	53	51	33	61	73	24	20
88	68	89	33	62	30	74	75	7	39
23	80	40	39	53	74	49	90	18	75
3	70	4	43	32	8	60	62	22	38
50	24	53	36	3	4	28	78	77	12
21	55	36	65	49	25	17	4	8	74
58	76	41	65	63	87	68	83	21	30
42	16	54	28	62	37	64	27	18	33
49	54	74	10	3	23	76	25	1	75
8	15	41	69	9	82	66	4	57	73
31	11	70	66	30	61	44	23	1	86
59	79	87	50	14	8	39	57	67	55
63	44	16	50	1	25	22	29	43	3
31	5	86	75	42	36	28	56	24	69
50	52	41	54	3	16	34	80	90	11
15	81	88	73	8	25	76	9	41	78
24	75	44	42	49	47	68	53	10	52
16	47	44	45	72	52	84	38	43	80
70	85	50	86	8	61	40	59	67	31
71	7	46	30	50	85	56	31	74	6
51	82	53	2	13	84	66	16	6	87
62	60	3	88	37	51	19	10	64	14
72	78	54	18	9	53	59	23	1	75
4	58	17	51	65	52	69	42	30	33
39	60	25	15	3	64	50	12	82	47
66	17	82	80	2	62	26	40	50	27
73	54	84	40	5	11	31	65	1	12
57	77	10	73	90	11	61	37	52	14
6	21	38	9	53	41	24	64	80	14
62	24	70	34	82	54	76	45	84	44
52	63	20	18	51	28	25	75	88	43
37	18	77	65	25	80	72	90	3	8
62	34	7	57	41	83	44	66	33	27
43	67	28	71	46	48	42	75	47	14
33	49	17	57	72	9	79	35	13	10
82	61	58	19	34	40	6	18	27	2
87	55	48	72	75	63	66	6	42	86
89	67	26	18	4	10	17	47	35	30
8	79	21	12	68	23	51	24	74	2
74	18	2	64	4	33	8	53	72	42
83	80	5	71	46	48	81	35	38	40
45	14	77	12	17	66	41	48	19	88
82	48	52	19	53	22	84	50	85	36
16	12	46	41	21	80	26	38	31	55
43	64	4	88	49	17	13	70	76	89
60	43	62	78	80	15	64	46	71	49
63	19	58	25	29	40	17	41	18	10
75	54	2	8	65	22	77	82	61	87
44	42	60	85	74	81	53	66	30	80
45	17	23	48	50	46	41	38	1	3
12	65	62	77	24	66	38	32	28	22
3	46	10	2	55	67	82	17	16	7
2	39	36	51	42	24	35	79	46	9
32	67	74	58	70	81	33	56	31	44
80	58	18	87	55	23	31	27	59	70
16	74	64	84	22	39	4	35	76	56
50	62	82	43	67	24	29	21	9	33
64	15	77	21	5	70	52	34	27	35
10	14	40	1	9	72	78	83	42	76
74	67	58	24	4	66	90	37	33	50
55	85	64	22	70	19	72	7	54	67
65	13	81	60	63	50	59	15	90	27
74	51	86	73	53	23	36	62	47	29
3	83	4	6	27	81	57	28	62	68
8	9	53	52	30	59	26	41	56	54
23	81	63	40	17	24	75	39	68	71
44	18	6	38	34	31	54	69	13	71
25	16	5	73	29	64	74	52	67	51
1	86	48	75	41	11	70	47	80	30
52	4	13	23	54	34	75	85	7	62
70	19	36	72	54	58	69	46	80	32
26	33	29	74	82	83	16	25	89	41
27	82	69	26	73	48	35	59	68	11
79	5	20	49	2	46	90	62	33	30
36	17	21	41	81	25	56	64	61	13
12	8	24	35	59	54	64	57	58	49
17	50	43	15	51	89	82	69	74	5
87	55	56	62	39	11	28	40	30	9
78	73	54	20	10	56	37	2	50	11
22	69	41	87	52	8	35	44	1	12
71	84	68	40	31	72	14	7	34	76
34	44	13	66	56	90	63	33	26	79
62	7	68	59	54	31	86	65	42	4
4	25	62	47	31	34	36	8	60	13
63	80	48	39	71	83	65	3	32	82
10	77	84	86	50	16	20	5	74	52
40	1	35	29	18	70	88	58	67	57
68	31	52	14	70	45	28	63	58	29
