55	3	4	61	32	72	89	50	69	5
55	79	64	34	47	88	5	28	29	48
10	84	88	51	14	64	23	59	50	76
39	74	3	66	9	35	30	82	58	54
63	34	5	41	28	48	10	44	65	6
87	11	67	4	37	47	25	72	62	82
6	80	39	47	33	31	10	79	25	19
40	1	72	32	77	21	83	37	74	35
25	82	6	66	69	78	23	43	67	61
15	26	62	82	36	9	54	66	17	45
13	62	3	59	15	58	34	21	73	66
76	32	40	85	89	60	10	14	53	65
29	77	9	5	47	25	30	88	68	50
28	83	59	41	68	58	79	43	19	72
89	26	5	50	86	8	10	62	11	31
4	73	30	49	76	33	62	85	47	60
7	75	32	9	3	1	76	36	88	55
49	87	16	54	4	23	67	30	10	62
63	9	58	2	18	5	37	26	15	62
19	28	26	10	53	64	20	63	31	32
82	45	33	16	61	86	60	30	55	49
76	45	57	31	87	83	67	53	18	74
45	46	6	81	60	50	12	42	36	67
8	2	33	62	59	64	3	6	29	86
13	57	55	60	23	6	11	62	20	17
46	69	68	82	66	31	17	63	38	34
39	56	18	10	2	64	37	40	90	1
65	71	18	29	7	14	44	49	27	24
86	3	52	40	38	28	75	7	24	56
71	65	22	29	6	87	88	18	63	38
20	28	82	52	23	48	50	26	16	85
18	68	23	22	43	30	37	75	38	63
58	72	59	20	60	35	8	28	77	12
12	64	75	4	8	38	78	10	43	7
18	60	31	65	37	85	12	22	76	62
47	62	12	86	9	15	60	88	75	54
21	32	28	27	78	64	52	13	38	22
29	71	57	20	34	65	2	61	74	89
44	2	40	65	6	84	79	20	58	15
85	11	56	55	48	24	35	9	41	72
63	70	62	26	54	51	5	74	64	10
14	61	85	31	71	10	6	16	41	59
66	8	68	22	20	23	34	45	6	88
29	65	1	42	25	7	79	13	19	54
69	20	27	10	90	15	52	31	47	76
75	70	63	61	55	66	33	57	47	19
56	66	36	47	46	2	50	81	15	84
62	79	34	57	30	32	78	71	45	21
65	14	88	4	83	21	56	7	51	87
61	53	25	7	21	48	54	40	29	83
63	31	55	26	20	74	79	67	82	51
67	29	39	4	58	55	41	48	28	35
49	31	33	54	23	14	10	19	52	48
16	37	65	45	68	86	57	81	50	20
29	17	69	11	23	22	10	84	12	59
20	15	43	68	21	18	82	12	10	22
19	31	60	59	77	55	46	32	30	7
9	27	38	40	89	20	84	63	41	37
75	74	87	11	79	52	70	25	9	53
36	38	7	70	84	43	17	3	16	8
6	64	35	89	4	83	65	87	13	81
76	51	69	54	42	10	66	21	26	33
67	11	50	75	48	51	5	60	52	53
72	26	11	59	87	9	2	56	57	83
55	61	50	52	1	57	23	53	18	88
85	55	19	42	9	81	49	37	40	65
40	37	28	57	10	54	41	73	68	36
51	61	38	86	9	50	1	83	4	68
43	59	68	39	30	47	37	78	79	72
41	34	21	47	13	25	37	1	40	62
24	85	86	25	89	26	62	3	90	77
65	53	28	40	64	70	69	72	45	54
58	40	32	63	31	90	27	30	1	21
84	39	81	41	61	68	26	77	58	71
11	48	47	89	70	77	86	19	13	9
88	57	47	41	87	37	23	59	49	61
44	82	74	32	53	83	22	10	15	68
72	82	52	31	26	6	67	11	28	84
85	26	80	66	84	13	45	20	23	50
82	81	64	39	54	60	77	84	73	59
16	49	46	39	74	36	11	78	22	84
52	78	30	11	74	33	71	48	18	54
39	65	69	53	48	14	43	18	86	51
34	6	39	25	75	3	87	14	16	89
34	11	38	17	54	56	58	50	4	85
34	48	26	79	2	70	10	11	36	56
8	50	52	30	63	46	64	71	10	78
32	49	37	31	47	33	51	36	63	18
55	48	64	61	14	51	11	4	19	46
45	33	19	30	7	81	65	88	16	28
12	18	35	31	60	82	39	1	75	52
26	50	89	52	38	84	69	31	48	80
59	45	74	75	62	49	78	66	44	69
40	81	59	57	70	14	37	19	58	79
75	44	21	14	40	39	16	47	66	23
62	3	57	23	53	78	34	89	86	63
23	85	4	33	51	15	39	71	10	75
43	19	21	44	76	35	41	79	23	36
88	29	87	1	11	17	21	90	56	72
25	53	21	90	19	20	83	81	77	3
31	6	86	70	69	14	75	12	67	3
59	30	55	50	15	19	61	58	26	52
