37	63	50	61	7	42	62	67	70	38
52	56	22	14	38	36	51	78	76	4
69	20	9	46	12	31	55	22	11	42
53	57	37	2	83	26	47	51	19	79
5	23	78	59	28	81	76	31	17	68
36	5	83	65	49	28	61	41	48	70
57	38	13	79	90	51	33	40	45	23
19	36	13	58	20	12	85	60	33	78
84	53	59	49	17	45	44	23	39	33
38	24	53	21	8	49	67	71	28	61
23	6	61	66	71	79	69	49	39	70
32	25	69	1	14	11	18	43	81	80
21	50	24	72	31	45	29	30	64	60
25	64	32	9	68	30	23	29	85	78
38	67	40	43	58	64	56	88	26	24
31	73	62	65	68	20	13	76	5	70
34	13	9	41	46	40	72	4	59	17
13	61	53	52	90	58	80	89	56	10
54	49	63	56	36	81	45	22	18	7
50	62	17	81	29	67	6	10	71	7
15	65	58	82	14	61	13	45	20	81
48	49	34	15	42	86	36	16	37	88
50	37	32	48	12	31	33	18	58	59
47	21	9	10	26	76	72	83	29	49
84	49	35	83	53	89	2	34	65	36
60	12	55	4	10	41	20	68	62	80
5	28	45	42	82	4	15	18	47	1
49	52	88	36	62	41	18	84	57	21
52	39	3	77	53	59	87	5	28	80
63	65	10	50	75	73	1	88	84	57
46	21	9	90	72	30	43	79	14	38
54	15	7	72	37	8	79	48	77	30
44	60	17	55	81	76	45	82	87	5
65	32	38	10	13	53	56	24	57	44
27	63	3	13	70	47	89	68	41	65
38	73	7	66	18	70	86	23	82	40
38	14	88	78	36	43	39	6	30	20
58	33	7	82	30	47	34	10	80	68
62	23	43	45	7	60	78	22	79	24
31	75	90	67	72	17	18	63	23	64
23	55	90	22	60	72	45	29	6	32
34	44	14	6	9	51	87	38	3	8
17	55	25	52	46	38	48	20	1	88
40	31	86	21	11	27	70	28	17	59
53	34	7	14	69	18	21	48	82	20
35	8	52	25	55	17	54	27	31	63
54	48	46	66	13	78	76	80	7	11
25	67	21	16	37	69	23	78	1	46
15	35	21	48	37	25	13	73	17	52
46	45	63	74	88	18	65	36	82	38
16	26	66	50	71	51	32	59	61	8
17	64	82	13	75	14	78	43	32	59
54	66	60	46	21	35	33	18	57	6
31	36	54	72	70	53	79	76	60	14
65	17	51	60	22	36	45	32	55	10
29	24	46	86	70	54	72	31	59	16
55	83	38	36	51	18	87	60	67	41
35	12	61	8	10	81	66	5	69	39
50	12	43	59	81	42	2	19	47	49
34	6	9	82	49	4	60	11	13	16
34	32	15	65	1	40	8	20	28	27
36	63	68	69	39	34	6	52	85	62
44	63	10	58	6	4	89	34	29	49
67	61	68	20	1	12	18	55	24	30
16	58	10	46	9	56	36	26	33	22
75	28	83	26	87	33	7	3	13	62
68	78	44	63	3	84	57	52	11	66
25	69	48	59	21	9	35	55	30	22
55	48	32	57	42	59	11	38	64	37
37	6	69	47	73	72	30	17	9	27
75	83	77	86	8	73	85	89	90	17
46	6	67	42	90	84	74	64	73	23
48	13	35	67	24	34	29	15	27	77
46	10	77	78	87	16	60	1	57	39
14	5	26	34	11	10	52	90	59	9
53	64	61	73	88	4	24	33	87	68
40	31	61	89	84	74	29	82	54	41
47	4	26	34	29	64	63	10	1	27
43	55	62	3	42	33	24	8	10	67
5	51	40	74	78	58	83	53	55	36
6	25	62	1	81	19	45	41	12	35
36	31	69	73	24	51	49	71	11	90
46	5	67	38	13	27	2	65	41	63
44	23	18	20	85	13	61	74	39	83
45	76	61	50	86	51	62	48	10	11
53	10	82	60	76	66	33	47	75	89
44	6	65	72	73	78	20	8	53	12
64	72	66	54	90	8	65	1	27	58
74	85	40	7	48	32	13	9	42	75
69	46	8	44	45	29	62	18	58	71
54	65	64	6	56	21	44	18	81	35
36	2	8	5	47	28	79	15	88	82
65	50	45	10	83	34	19	76	53	46
5	30	45	35	6	24	7	23	83	44
64	36	83	26	43	60	77	37	6	35
22	82	41	61	52	21	9	56	19	87
21	41	63	28	84	14	81	80	77	3
14	20	15	6	58	63	17	71	90	42
53	52	7	16	87	37	32	47	1	27
54	30	81	64	2	53	1	56	48	6
47	2	54	42	49	4	6	89	20	22
51	14	30	82	44	29	32	25	57	77
26	49	38	25	16	35	84	74	37	39
24	19	14	2	74	12	59	32	58	3
45	16	78	73	33	1	71	11	13	59
47	60	27	68	50	5	66	23	74	6
71	81	64	37	29	57	56	11	53	30
45	66	54	27	86	64	84	10	67	2
42	52	53	83	69	21	45	13	32	19
1	53	17	71	64	45	42	19	84	18
25	83	72	36	45	56	8	31	79	20
14	51	39	30	82	48	65	63	78	60
43	58	56	11	54	78	35	47	69	1
54	25	65	63	41	20	71	81	55	58
39	54	87	71	43	83	1	26	37	22
15	65	7	85	38	39	53	57	5	30
70	54	75	4	61	55	84	11	25	23
42	69	1	36	45	50	71	58	32	88
15	52	54	80	35	50	43	87	86	21
83	8	5	7	57	73	48	46	45	17
67	32	78	87	51	26	52	45	1	82
46	28	63	38	65	50	17	73	35	60
56	27	15	1	33	73	60	62	17	47
70	63	61	57	71	80	77	72	59	86
58	55	10	82	22	9	83	27	69	33
82	25	40	12	41	89	59	79	10	62
45	84	77	35	59	10	74	9	37	66
74	58	26	17	43	11	30	73	14	78
64	73	70	37	32	11	85	18	36	82
45	18	39	1	61	33	13	12	20	24
35	29	62	66	55	28	12	89	8	3
17	53	71	19	4	85	8	47	46	6
32	43	14	81	27	44	24	66	22	1
14	52	28	56	4	84	30	58	86	39
35	49	90	65	44	52	63	11	40	20
40	82	73	34	44	33	51	49	89	20
2	69	84	71	13	31	66	70	78	22
24	65	79	49	11	71	51	74	68	53
16	29	87	77	67	42	60	55	17	23
29	64	38	36	56	18	46	68	48	5
30	50	44	46	47	28	10	24	23	3
20	87	25	26	76	50	46	70	68	42
41	69	51	67	71	49	82	81	18	48
4	41	42	50	12	3	76	86	39	57
27	86	80	84	30	61	77	64	37	36
6	32	33	16	36	80	84	63	19	34
72	65	78	31	7	4	64	13	69	12
72	86	25	70	42	63	11	46	20	81
75	49	33	38	37	11	80	84	45	47
44	59	8	36	37	78	6	19	68	9
71	11	81	31	23	58	34	53	75	52
55	46	77	32	51	42	44	53	24	18
51	41	4	86	11	30	34	28	56	55
34	70	62	18	72	7	44	12	27	73
3	33	45	1	62	49	21	65	47	40
84	38	74	72	12	73	17	30	62	50
25	51	66	53	37	81	33	45	11	86
54	8	66	62	82	25	46	15	65	81
80	33	10	47	76	5	83	54	51	61
72	36	8	37	77	44	34	69	19	74
83	16	79	12	48	14	54	35	57	87
19	79	58	82	42	10	52	67	23	12
26	43	17	48	33	73	70	34	60	35
5	48	12	73	31	37	13	66	67	18
9	89	3	28	64	15	53	52	62	35
80	27	87	76	54	90	61	88	66	13
16	34	61	53	9	15	33	68	71	13
59	76	68	63	46	13	50	4	33	23
81	61	2	47	66	13	86	74	31	22
68	36	32	63	74	79	75	64	35	9
49	60	28	31	45	78	69	15	84	53
86	65	73	37	54	6	8	69	30	11
22	57	36	61	8	65	79	74	45	38
48	10	36	24	6	49	73	52	71	50
90	72	19	38	40	70	14	41	45	23
78	88	58	89	10	32	83	33	8	49
27	14	55	78	12	21	72	65	71	35
37	72	18	69	15	51	25	55	80	17
85	76	5	29	23	83	44	24	31	41
19	41	10	1	3	27	32	75	34	16
48	54	52	63	89	26	22	39	24	53
67	45	41	71	57	17	78	8	90	27
83	29	43	23	30	52	81	17	59	27
20	11	59	54	79	86	15	81	28	39
58	59	26	34	64	23	10	73	68	6
50	33	70	58	68	54	42	77	16	57
88	26	63	41	75	83	9	76	74	32
49	20	78	85	63	25	62	73	86	5
16	21	76	52	69	11	33	7	9	56
87	7	15	16	73	47	77	51	4	53
68	17	89	40	65	19	27	28	62	22
69	39	31	47	79	67	4	36	59	18
73	50	37	84	13	16	14	21	28	3
50	7	29	6	45	41	56	38	17	8
31	13	50	88	6	1	67	10	4	52
83	15	66	27	58	69	75	68	79	16
26	28	61	46	24	38	6	9	14	13
71	28	32	8	89	25	72	13	86	10
40	20	2	45	37	3	82	25	39	27
14	4	2	82	74	45	41	58	34	54
72	63	71	58	47	18	26	75	40	23
8	87	76	83	5	17	22	84	43	45
42	66	75	19	31	27	78	59	69	49
75	57	90	29	55	56	35	51	60	45
2	35	24	87	85	76	84	47	71	57
50	55	69	1	12	5	59	27	73	77
69	38	77	36	8	28	20	62	75	71
81	76	84	7	3	13	36	52	82	19
61	43	44	90	14	47	87	83	64	37
25	8	65	82	90	37	52	75	31	83
9	22	7	11	25	68	10	8	60	58
14	35	65	57	49	20	8	13	79	67
35	81	57	30	45	59	76	14	64	67
9	22	1	33	23	13	25	54	4	24
77	8	56	66	29	35	65	10	42	17
73	75	12	23	53	61	72	29	28	63
62	51	29	35	22	40	84	42	66	72
56	85	78	49	88	59	42	33	50	12
17	57	40	62	32	53	65	29	52	81
20	1	84	80	29	39	60	52	68	86
47	27	33	69	83	60	28	88	8	58
62	4	3	64	17	68	14	72	10	37
87	76	60	20	28	22	44	78	88	24
83	9	44	87	55	14	4	86	38	54
27	14	68	61	2	75	17	70	74	16
62	87	89	76	60	56	2	35	12	74
88	73	10	62	39	1	6	36	90	25
83	69	64	78	30	1	84	44	24	70
55	12	27	5	11	40	54	86	31	6
43	49	33	54	67	69	72	44	7	58
49	34	55	23	80	68	66	24	4	26
66	71	84	27	76	4	86	87	36	28
17	68	36	23	87	88	74	5	83	4
43	11	34	29	74	55	78	87	89	23
45	9	84	5	14	57	86	73	81	2
75	88	61	43	9	56	5	24	52	49
83	14	68	24	3	30	48	18	45	5
57	30	47	4	70	87	21	7	54	51
49	63	48	11	37	34	39	86	22	50
15	8	35	9	21	43	44	31	10	16
38	21	15	40	8	69	18	55	77	27
29	48	52	77	67	3	78	57	1	60
32	58	76	77	37	11	74	27	81	62
17	29	54	3	65	79	68	44	71	73
90	58	55	46	54	85	75	23	17	43
42	8	40	89	7	70	45	25	41	90
84	53	1	38	82	86	43	72	76	79
2	46	66	83	80	78	42	5	70	50
88	26	46	20	39	57	72	81	73	13
62	87	49	45	68	55	75	77	65	73
30	10	74	87	28	9	76	12	53	57
62	11	72	76	84	74	51	37	17	31
73	75	64	79	25	29	55	37	70	50
14	63	74	41	58	5	24	56	52	70
21	87	86	75	78	31	59	89	10	90
70	63	43	28	39	77	2	52	69	66
72	39	1	63	64	77	35	28	69	14
63	42	89	44	66	50	2	25	55	17
59	75	17	89	40	54	34	13	72	39
60	65	12	86	56	22	66	57	28	73
65	64	35	2	15	56	32	20	80	73
77	90	18	34	87	13	20	65	44	28
2	22	36	66	57	26	4	46	44	72
69	29	37	45	71	49	14	84	6	72
37	15	50	76	52	11	32	25	5	89
64	69	47	26	38	59	63	80	57	32
13	25	10	89	30	80	75	90	15	59
80	54	15	87	24	26	60	19	17	32
3	53	36	63	70	73	18	81	58	60
16	73	28	19	61	85	46	83	53	23
17	43	33	67	73	49	40	4	55	70
37	85	45	16	69	32	8	20	74	1
49	42	14	58	47	79	72	32	74	38
88	13	84	41	9	6	83	39	89	27
32	18	24	36	87	48	16	6	56	71
10	90	73	50	39	7	49	28	84	1
36	43	69	14	15	45	23	90	35	65
86	47	80	33	84	78	89	48	74	76
12	68	14	16	26	64	73	15	31	90
13	3	36	79	9	52	61	74	11	12
64	89	32	33	51	11	86	87	49	54
59	6	15	68	46	37	16	70	55	83
63	86	76	35	11	34	32	47	70	7
41	72	35	3	14	18	33	50	32	76
13	56	70	47	83	39	28	57	61	18
37	84	77	40	32	5	58	69	68	15
12	44	76	66	78	32	49	29	58	22
