75	64	41	74	33	42	62	21	80	51
78	31	46	14	23	48	45	40	61	57
82	12	3	24	46	69	85	80	81	47
56	19	76	21	48	55	10	37	4	6
86	70	83	60	67	84	34	31	40	50
62	42	43	36	56	61	51	4	63	58
69	29	25	1	27	80	8	64	31	71
84	17	4	73	5	20	60	65	88	46
53	42	56	76	43	89	29	5	7	49
84	7	50	62	63	34	35	69	85	81
83	82	90	8	24	33	64	63	54	37
37	62	70	40	9	60	34	90	63	28
65	72	83	61	64	45	85	78	82	28
66	75	80	4	59	62	7	70	40	25
89	21	69	40	61	50	5	37	28	74
54	48	17	31	65	73	14	64	19	13
24	72	83	52	27	21	46	66	23	12
52	49	67	16	9	60	33	32	30	90
25	73	85	34	88	52	72	21	70	50
24	48	86	83	75	49	38	70	2	44
48	29	14	80	45	16	51	51	3	30
49	30	86	34	23	84	4	64	68	85
31	80	55	1	18	78	48	4	70	50
30	43	81	29	17	3	8	77	47	11
60	35	90	88	52	74	84	68	72	29
5	76	75	69	82	22	25	30	36	26
87	41	80	4	16	58	13	6	63	5
75	53	19	38	66	15	30	45	57	21
85	23	66	4	61	40	83	74	9	43
82	14	33	42	27	51	30	56	74	20
71	37	60	34	68	26	64	53	4	79
81	49	16	50	58	36	4	75	30	62
74	43	35	27	32	34	88	84	64	24
85	39	59	74	66	69	60	87	22	73
80	73	70	16	45	38	3	41	8	5
79	64	47	73	67	16	19	10	1	29
35	43	54	12	28	84	85	34	48	83
23	46	80	35	63	14	74	47	18	81
39	17	30	64	69	41	8	74	27	43
12	62	31	68	28	64	77	85	27	13
82	15	63	20	53	76	54	17	61	89
46	71	2	24	81	54	13	69	9	29
18	25	56	71	85	43	16	48	64	8
42	6	49	33	70	57	79	66	84	63
14	43	78	44	9	35	21	63	32	74
67	90	66	41	22	54	75	50	11	7
6	35	25	32	21	30	49	22	74	33
59	61	15	48	58	42	70	34	44	64
38	82	56	62	4	47	73	31	25	51
31	58	87	34	24	44	28	53	76	1
32	24	73	66	89	3	45	74	85	68
47	51	60	12	62	8	69	42	31	74
7	48	54	52	27	65	71	80	37	15
82	25	2	32	12	37	48	51	77	23
67	73	8	53	44	51	24	32	48	62
14	23	42	26	50	86	77	22	6	13
8	25	30	9	61	21	63	54	24	76
7	47	80	36	82	61	25	71	60	45
49	70	83	9	82	31	53	73	68	51
32	1	47	64	81	14	55	72	23	4
88	41	52	20	63	74	8	26	58	12
28	53	31	21	15	72	65	26	58	84
45	53	12	85	43	31	72	8	24	60
31	12	23	87	26	45	1	36	90	16
53	67	40	23	15	12	36	1	45	20
81	27	51	4	37	68	71	23	60	89
42	76	23	7	25	22	14	30	41	10
47	65	6	85	39	16	27	50	36	21
37	46	84	8	57	22	53	14	65	23
58	17	49	52	86	26	10	73	61	15
40	21	22	8	82	14	52	63	75	10
46	60	28	65	71	9	12	83	16	32
17	83	3	72	67	35	12	46	24	51
86	11	59	52	31	28	81	47	80	9
54	43	28	85	42	14	63	5	23	30
8	56	60	62	70	33	5	16	88	89
11	35	41	43	15	44	55	17	10	61
48	23	45	31	37	6	14	75	88	18
74	71	66	75	84	44	23	89	51	32
31	62	41	68	54	67	83	72	23	74
84	46	65	30	53	73	8	11	57	13
37	6	39	34	35	89	52	23	47	60
26	38	42	69	85	9	46	22	60	81
68	26	30	29	33	15	56	41	63	72
26	35	81	48	12	67	20	53	27	83
68	46	79	38	11	32	51	43	8	81
77	34	16	3	68	15	23	71	60	54
12	29	5	72	84	36	73	64	86	30
6	15	39	68	73	64	5	25	49	79
39	6	29	44	87	18	69	32	75	26
62	88	2	60	86	18	69	32	75	26
38	61	34	77	7	87	45	90	41	79
8	22	37	67	70	57	14	61	68	40
66	16	8	73	31	12	20	53	2	45
55	84	9	32	76	18	72	41	54	12
58	30	86	28	83	26	44	12	78	68
24	80	68	53	39	41	31	67	8	50
66	4	62	27	17	87	82	90	13	70
55	33	47	30	83	60	44	78	80	6
63	54	20	1	12	89	60	41	73	18
47	88	40	34	58	30	14	79	85	46
12	38	32	31	82	37	80	89	66	67
15	42	53	76	80	66	81	28	45	2
59	62	11	75	55	4	83	86	36	24
25	60	46	78	34	77	14	58	39	68
27	39	54	5	48	43	85	53	56	88
24	33	54	81	62	28	72	14	6	58
67	21	78	65	73	40	61	43	15	38
76	41	90	28	87	12	56	3	49	55
63	71	10	57	48	80	11	60	28	16
76	1	41	70	84	47	33	75	85	22
1	26	77	51	42	53	88	27	3	14
44	90	61	85	52	19	70	33	43	5
22	62	73	36	15	3	26	65	18	48
20	17	78	37	9	72	44	11	25	90
61	33	18	43	86	12	70	31	56	99
29	84	30	51	80	65	90	43	20	68
